0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,
81,175,618,1469,264,186,38,3,0,0,
41,67,698,1247,263,165,61,16,0,0,
0,120,614,2682,287,191,80,5,0,0,
63,316,716,2344,242,60,50,0,0,0,
46,257,491,2239,440,140,101,30,0,0,
46,257,491,2239,440,140,101,30,0,0,
93,307,308,1291,100,33,0,0,0,0,
0,218,277,943,303,148,73,0,0,0,
97,226,663,1958,337,245,102,10,0,0,
36,182,411,2172,830,178,114,5,0,0,
36,182,411,2172,830,178,114,5,0,0,
0,90,562,1103,482,97,48,0,0,0,
0,71,350,1240,249,62,0,0,0,0,
0,47,191,1136,237,131,3,0,0,0,
0,25,212,1012,192,91,0,0,0,0,
0,98,591,657,235,103,45,0,0,0,
0,98,591,657,235,103,45,0,0,0,
24,41,736,1174,231,157,43,5,0,0,
10,116,645,2865,222,128,74,5,0,0,
0,193,766,2141,292,61,23,0,0,0,
22,157,552,2079,187,100,20,7,0,0,
22,157,552,2079,187,100,20,7,0,0,
22,222,292,1100,15,20,0,0,0,0,
60,273,126,868,335,89,70,0,0,0,
19,184,489,1764,338,252,120,8,0,0,
0,87,805,1481,722,226,109,0,0,0,
0,87,805,1481,722,226,109,0,0,0,
0,36,467,1312,439,80,37,0,0,0,
0,35,490,1080,242,65,6,0,0,0,
0,69,233,1188,225,66,0,0,0,0,
0,69,233,1188,225,66,0,0,0,0,
0,0,109,581,81,17,0,0,0,0,
0,67,412,967,207,162,32,0,0,0,
16,237,588,820,212,133,35,0,0,0,
18,164,655,2259,189,83,28,0,0,0,
18,164,655,2259,189,83,28,0,0,0,
15,216,624,1828,118,33,19,0,0,0,
16,176,244,1000,140,43,3,0,0,0,
0,160,286,949,28,1,0,0,0,0,
42,255,192,925,163,26,3,0,0,0,
4,193,781,1239,199,147,50,0,0,0,
4,193,781,1239,199,147,50,0,0,0,
0,92,899,734,469,147,59,10,0,0,
0,57,833,892,263,29,2,0,0,0,
32,83,118,757,194,4,0,0,0,0,
0,50,370,738,213,83,0,0,0,0,
0,39,320,617,133,56,0,0,0,0,
0,39,320,617,133,56,0,0,0,0,
0,79,454,559,177,26,0,0,0,0,
92,561,601,412,153,16,0,0,0,0,
74,485,406,763,118,11,0,0,0,0,
118,515,224,608,72,48,0,0,0,0,
118,515,224,608,72,48,0,0,0,0,
13,121,108,543,15,0,0,0,0,0,
0,63,181,371,0,0,0,0,0,0,
0,133,112,280,19,0,0,0,0,0,
46,191,455,156,135,54,0,0,0,0,
1,174,1602,402,107,46,0,0,0,0,
1,174,1602,402,107,46,0,0,0,0,
0,89,811,257,8,0,0,0,0,0,
0,62,175,200,16,0,0,0,0,0,
0,10,532,269,17,0,0,0,0,0,
0,10,532,269,17,0,0,0,0,0,
0,2,281,154,15,0,0,0,0,0,
